experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
5cb9d9ed59c0e04cc0b8c341,d5-archer-spearman-large,reference,"{""accuracy"":""0"",""spread"":""0.3""}",B,A,2000,2000,0,0,6.965,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,48.9795,50.805,2.5005,2.52,0,0,0,0,0,0,0.050205,0,0,0,0,0,0.018,94.6395,0,4.7605,0,0,0,0,0,0,0,0,0,0,0,0.047605
5ef783d674b386d085b336f8,d5-archer-spearman-large,reference,"{""accuracy"":""0"",""spread"":""0.1""}",A,B,2000,0,0,2000,3.9935,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,54.3605,43.8295,2.7925,2.156,0,0,0,0,0,0,0.049485,0,0,0,0,0,0,23.4585,0,1.1965,0,0,0,0,0,0,0,0,0,0,0,0.011965
5ef783d674b386d085b336f8,d5-archer-spearman-large,reference,"{""accuracy"":""0"",""spread"":""0.1""}",B,A,2000,2000,0,0,6.965,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,48.984,50.8005,2.5005,2.519,0,0,0,0,0,0,0.050195,0,0,0,0,0,0,21.5175,0,1.097,0,0,0,0,0,0,0,0,0,0,0,0.01097
61766bc205d638b16d589ea2,d5-archer-spearman-small,reference,"{""accuracy"":""1""}",A,B,2000,2000,0,0,2,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.074,4.035,0.005,0.1865,0,0,0,0,0,0,0.0383,0,0,0,0,0,5,0,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0.0484
61766bc205d638b16d589ea2,d5-archer-spearman-small,reference,"{""accuracy"":""1""}",B,A,2000,0,0,2000,3,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,4.5595,0.0005,0.215,0,0,0,0,0,0,0.0431,0,0,0,0,0,5,0,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0.0484
662bfec1cb6982a1c18558fd,d5-archer-spearman-large,reference,"{""accuracy"":""1"",""spread"":""0.3""}",A,B,2000,2000,0,0,2.353,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6.6415,80.3205,0.323,3.967,0,0,0,0,0,0,0.0429,0,0,0,0,0,81.8825,18.1175,4.07,0.9535,0,0,0,0,0,0,0,0,0,0,0,0.050235
662bfec1cb6982a1c18558fd,d5-archer-spearman-large,reference,"{""accuracy"":""1"",""spread"":""0.3""}",B,A,2000,0,0,2000,3.0175,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,93.619,0,4.6435,0,0,0,0,0,0,0.046435,0,0,0,0,0,92.9215,7.0785,4.6685,0.35,0,0,0,0,0,0,0,0,0,0,0,0.050185
6b56e00f7dfa9ec128ea0a2b,d5-archer-spearman-small,reference,"{""accuracy"":""0.7"",""spread"":""0.3""}",A,B,2000,1871,0,129,2.8185,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.93,3.5245,0.0515,0.1615,0,0,0,0,0,0,0.0426,0,0,0,0,0,4.0725,0.9275,0.197,0.0525,0,0,0,0,0,0,0,0,0,0,0,0.0499
6b56e00f7dfa9ec128ea0a2b,d5-archer-spearman-small,reference,"{""accuracy"":""0.7"",""spread"":""0.3""}",B,A,2000,3,0,1997,3.654,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0885,4.6075,0.0035,0.217,0,0,0,0,0,0,0.0441,0,0,0,0,0,4.0845,0.9155,0.1995,0.045,0,0,0,0,0,0,0,0,0,0,0,0.0489
74318089e7a5ce9b67fc20f0,d5-archer-spearman-large,reference,"{""accuracy"":""0.1"",""spread"":""0.1""}",A,B,2000,0,0,2000,3.9935,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,54.3605,43.8295,2.7925,2.156,0,0,0,0,0,0,0.049485,0,0,0,0,0,0,63.9255,0,3.2335,0,0,0,0,0,0,0,0,0,0,0,0.032335
