family,group,target_budget,opponent,direction,from_level,to_level,from_experiment_id,to_experiment_id,samples_per_point,from_A_win_rate,to_A_win_rate,delta_A_win_rate,from_mean_rounds,to_mean_rounds,delta_mean_rounds,from_budget_A,to_budget_A,delta_budget_A,from_budget_B,to_budget_B,delta_budget_B,from_A_raw_dead,to_A_raw_dead,delta_A_raw_dead,from_A_raw_wounded,to_A_raw_wounded,delta_A_raw_wounded,from_B_raw_dead,to_B_raw_dead,delta_B_raw_dead,from_B_raw_wounded,to_B_raw_wounded,delta_B_raw_wounded,from_A_bench_economic_loss_rate,to_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate
E-add,archer,12000,soldier,A-B,0,5,9dc70450af0d494f7577cfaf,9d5ae67d37ca0dd1d9e31f84,2000,1,1,0,5,5,0,11970,12570,600,12000,12000,0,0,8.9195,8.9195,160.2085,180.538,20.3295,523.1665,523.4925,0.32599999999991,450.1985,456.0255,5.827,0.046751461988304,0.038876292760541,-0.007875169227763
E-add,archer,12000,soldier,A-B,5,10,9d5ae67d37ca0dd1d9e31f84,8e94f8effee1c0cd3516b517,2000,1,1,0,5,5,0,12570,13170,600,12000,12000,0,8.9195,7.92,-0.9995,180.538,205.2665,24.7285,523.4925,524.064,0.57150000000001,456.0255,461.6955,5.67,0.038876292760541,0.03188914198937,-0.006987150771171
E-add,archer,12000,soldier,A-B,10,20,8e94f8effee1c0cd3516b517,1845cc5aca353540f4c26080,2000,1,1,0,5,5,0,13170,14370,1200,12000,12000,0,7.92,4.355,-3.565,205.2665,250.986,45.7195,524.064,526.278,2.2140000000001,461.6955,471.973,10.2775,0.03188914198937,0.022839248434238,-0.009049893555132
E-add,archer,12000,soldier,A-B,20,35,1845cc5aca353540f4c26080,9d73fa4568d8f99e25cd5ef6,2000,1,1,0,5,5,0,14370,16170,1800,12000,12000,0,4.355,1.926,-2.429,250.986,303.828,52.842,526.278,532.4895,6.2115,471.973,483.754,11.781,0.022839248434238,0.016539888682746,-0.006299359751492
E-add,archer,12000,soldier,A-B,35,50,9d73fa4568d8f99e25cd5ef6,e7acfe05a33fca25391b3abe,2000,1,1,0,5,5,0,16170,17970,1800,12000,12000,0,1.926,0.972,-0.954,303.828,341.42,37.592,532.4895,541.357,8.8674999999999,483.754,492.0405,8.2865,0.016539888682746,0.01366694490818,-0.002872943774566
E-add,archer,12000,soldier,A-B,50,100,e7acfe05a33fca25391b3abe,0aad75b01c82cfbf65be9b39,2000,1,1,0,5,4.975,-0.025,17970,23970,6000,12000,12000,0,0.972,0.187,-0.785,341.42,407.336,65.916,541.357,584.531,43.174,492.0405,497.1645,5.124,0.01366694490818,0.0095602836879433,-0.0041066612202367
E-add,archer,12000,soldier,B-A,0,5,9dc70450af0d494f7577cfaf,9d5ae67d37ca0dd1d9e31f84,2000,0.993,1,0.007,8.068,8.0025,-0.0655,11970,12570,600,12000,12000,0,30.6745,43.149,12.4745,139.5535,181.003,41.4495,458.9585,477.3895,18.431,648.382,635.8155,-12.5665,0.049678362573099,0.048051710421639,-0.00162665215146
E-add,archer,12000,soldier,B-A,5,10,9d5ae67d37ca0dd1d9e31f84,8e94f8effee1c0cd3516b517,2000,1,1,0,8.0025,7.998,-0.0044999999999993,12570,13170,600,12000,12000,0,43.149,46.1275,2.9785,181.003,221.9165,40.9135,477.3895,501.105,23.7155,635.8155,618.335,-17.4805,0.048051710421639,0.044381548974943,-0.003670161446696
E-add,archer,12000,soldier,B-A,10,20,8e94f8effee1c0cd3516b517,1845cc5aca353540f4c26080,2000,1,1,0,7.998,7.8325,-0.1655,13170,14370,1200,12000,12000,0,46.1275,31.2955,-14.832,221.9165,301.499,79.5825,501.105,526.285,25.18,618.335,597.4165,-20.9185,0.044381548974943,0.035355601948504,-0.009025947026439
E-add,archer,12000,soldier,B-A,20,35,1845cc5aca353540f4c26080,9d73fa4568d8f99e25cd5ef6,2000,1,1,0,7.8325,7.038,-0.7945,14370,16170,1800,12000,12000,0,31.2955,11.2785,-20.017,301.499,378.297,76.798,526.285,464.688,-61.597,597.4165,641.729,44.3125,0.035355601948504,0.024335188620903,-0.011020413327601
E-add,archer,12000,soldier,B-A,35,50,9d73fa4568d8f99e25cd5ef6,e7acfe05a33fca25391b3abe,2000,1,1,0,7.038,7,-0.038,16170,17970,1800,12000,12000,0,11.2785,5.746,-5.5325,378.297,433.8885,55.5915,464.688,519.28,54.592,641.729,602.0865,-39.6425,0.024335188620903,0.01959571508069,-0.004739473540213
E-add,archer,12000,soldier,B-A,50,100,e7acfe05a33fca25391b3abe,0aad75b01c82cfbf65be9b39,2000,1,1,0,7,6,-1,17970,23970,6000,12000,12000,0,5.746,0.615,-5.131,433.8885,485.834,51.9455,519.28,517.6495,-1.6305,602.0865,602.892,0.80550000000005,0.01959571508069,0.01177868168544,-0.00781703339525
E-add,archer,12000,spearman,A-B,0,5,90452a8e0fc26bc011ac9c96,9dfd290a44102763cac17162,2000,0,0.1195,0.1195,4.0005,4.266,0.2655,11970,12570,600,11970,11970,0,93.5225,101.0765,7.554,74.645,115.1805,40.5355,0.0845,25.5485,25.464,170.9155,145.447,-25.4685,0.049213450292398,0.046929196499602,-0.002284253792796
